,,,,,,,by cancer type,,,,,gene set,,,,,,,
BTF3,CD8.c01(Tn),0.30 ,1.20E-19,1.50E-18,181,59.08%,15,0.79 ,19,0.65 ,3.10E-68,,,,,,,,
CMTM8,CD8.c01(Tn),0.30 ,9.36E-22,1.41E-20,182,8.91%,12,0.63 ,19,0.58 ,2.34E-62,,,,,TRUE,,,
IFNGR2,CD8.c01(Tn),0.30 ,2.59E-13,1.80E-12,183,5.64%,11,0.58 ,19,0.73 ,1.46E-86,,,,,TRUE,,TRUE,
RSL1D1,CD8.c01(Tn),0.30 ,1.29E-24,2.45E-23,184,51.31%,13,0.68 ,19,0.58 ,3.27E-22,,,,,,,,
RGMB,CD8.c01(Tn),0.30 ,1.08E-20,1.49E-19,185,2.23%,13,0.68 ,19,0.94 ,4.14E-24,,,,,TRUE,,,
RPS4Y1,CD8.c01(Tn),0.29 ,9.50E-18,1.01E-16,186,26.85%,11,0.58 ,19,0.58 ,1.43E-22,,,,,,,,
EEF1D,CD8.c01(Tn),0.29 ,5.01E-24,9.14E-23,187,56.56%,15,0.79 ,19,0.63 ,1.82E-65,,,,,,,,
DSEL,CD8.c01(Tn),0.29 ,2.48E-12,1.56E-11,188,5.10%,8,0.42 ,19,0.66 ,2.53E-04,,,,,TRUE,,,
GIMAP7,CD8.c01(Tn),0.29 ,5.30E-14,3.96E-13,189,53.21%,13,0.68 ,19,0.69 ,2.94E-77,,,,,,,,
EDAR,CD8.c01(Tn),0.29 ,2.78E-14,2.14E-13,190,0.78%,8,0.42 ,19,0.68 ,1.20E-17,,,,,TRUE,,,
BEX4,CD8.c01(Tn),0.28 ,9.81E-23,1.58E-21,191,16.96%,11,0.58 ,19,0.71 ,6.37E-14,,,,,,,,
FBLN5,CD8.c01(Tn),0.28 ,5.55E-18,5.97E-17,192,6.66%,10,0.53 ,19,0.67 ,1.72E-41,,,,TRUE,,,,
IL23A,CD8.c01(Tn),0.28 ,9.74E-35,4.25E-33,193,6.28%,13,0.68 ,19,0.50 ,4.81E-07,,,,TRUE,,,TRUE,
FAAH2,CD8.c01(Tn),0.28 ,4.93E-14,3.70E-13,194,9.80%,10,0.53 ,19,0.71 ,4.45E-68,,,,,,TRUE,,
TMEM220,CD8.c01(Tn),0.28 ,7.10E-13,4.75E-12,195,2.62%,9,0.47 ,19,0.64 ,2.64E-67,,,,,TRUE,,,
TOMM7,CD8.c01(Tn),0.28 ,1.45E-34,6.27E-33,196,55.59%,16,0.84 ,19,0.56 ,9.67E-30,,,,,TRUE,,,
TIMP1,CD8.c01(Tn),0.28 ,7.41E-27,1.68E-25,197,21.40%,12,0.63 ,19,0.47 ,5.34E-15,,,,TRUE,,,,
HPCAL4,CD8.c01(Tn),0.28 ,1.31E-23,2.32E-22,198,1.94%,12,0.63 ,19,0.54 ,4.57E-08,,,,,,,,
LRRN3,CD8.c01(Tn),0.28 ,1.69E-05,4.87E-05,199,7.01%,7,0.37 ,19,1.10 ,6.40E-03,,,,,TRUE,,,
EDA,CD8.c01(Tn),0.28 ,2.52E-18,2.79E-17,200,2.15%,10,0.53 ,19,0.58 ,1.76E-09,,,,,TRUE,,,
LINC00861,CD8.c01(Tn),0.27 ,1.09E-10,5.79E-10,201,33.41%,7,0.37 ,19,0.82 ,3.29E-108,,,,,,,,
RASA3,CD8.c01(Tn),0.27 ,3.87E-23,6.51E-22,202,27.89%,13,0.68 ,19,0.72 ,2.81E-14,,,,,,,,
CD28,CD8.c01(Tn),0.27 ,8.48E-13,5.63E-12,203,29.20%,8,0.42 ,19,0.93 ,5.20E-24,,,,,TRUE,,,
FAM117B,CD8.c01(Tn),0.27 ,3.21E-13,2.21E-12,204,6.41%,9,0.47 ,19,0.79 ,1.05E-01,,,,,,,,
LEPROTL1,CD8.c01(Tn),0.27 ,2.89E-27,6.82E-26,205,53.99%,9,0.47 ,19,0.45 ,1.96E-28,,,,,TRUE,,,
REG4,CD8.c01(Tn),0.27 ,2.91E-06,9.27E-06,206,3.47%,7,0.37 ,19,0.87 ,1.69E-121,,,,TRUE,,,,
SLC22A17,CD8.c01(Tn),0.27 ,6.20E-30,1.86E-28,207,2.15%,16,0.84 ,19,0.66 ,3.02E-13,,,,,TRUE,,,
TAF4B,CD8.c01(Tn),0.27 ,1.75E-15,1.52E-14,208,8.40%,11,0.58 ,19,0.61 ,1.86E-51,TRUE,,,,,,,
ARHGAP15,CD8.c01(Tn),0.27 ,1.59E-25,3.23E-24,209,47.43%,13,0.68 ,19,0.58 ,2.20E-31,,,,,,,,
PCSK5,CD8.c01(Tn),0.27 ,6.92E-14,5.09E-13,210,4.43%,10,0.53 ,19,0.59 ,1.21E-56,,,,TRUE,TRUE,TRUE,,
WNT7A,CD8.c01(Tn),0.26 ,6.22E-20,7.97E-19,211,1.27%,12,0.63 ,19,0.60 ,4.21E-10,,,,TRUE,,,,
TMEM243,CD8.c01(Tn),0.26 ,1.68E-22,2.67E-21,212,39.60%,14,0.74 ,19,0.52 ,1.50E-07,,,,,TRUE,,,
PLEKHB1,CD8.c01(Tn),0.26 ,1.78E-19,2.19E-18,213,10.21%,10,0.53 ,19,0.52 ,8.45E-02,,,,,,,,
ALKBH7,CD8.c01(Tn),0.26 ,5.10E-21,7.24E-20,214,34.19%,12,0.63 ,19,0.64 ,4.82E-67,,,,,,,,
ZSCAN18,CD8.c01(Tn),0.26 ,8.04E-27,1.82E-25,215,8.51%,12,0.63 ,19,0.49 ,1.45E-39,TRUE,,,,,,,
SLC40A1,CD8.c01(Tn),0.26 ,2.95E-22,4.61E-21,216,4.80%,11,0.58 ,19,0.65 ,6.73E-40,,,,,TRUE,,,TRUE
FHIT,CD8.c01(Tn),0.26 ,1.45E-17,1.50E-16,217,3.98%,7,0.37 ,19,0.56 ,1.45E-01,,,,,,TRUE,,TRUE
SOCS3,CD8.c01(Tn),0.26 ,4.74E-11,2.64E-10,218,22.32%,8,0.42 ,19,0.69 ,2.48E-13,,,,,,,,
PHLDB3,CD8.c01(Tn),0.25 ,6.34E-11,3.48E-10,219,10.59%,9,0.47 ,19,0.58 ,1.07E-46,,,,,,,,
CD79A,CD8.c01(Tn),0.25 ,7.68E-07,2.63E-06,220,5.88%,6,0.32 ,19,0.97 ,1.67E-148,,,,,TRUE,,,
NAP1L1,CD8.c01(Tn),0.25 ,1.59E-18,1.80E-17,221,54.56%,8,0.42 ,19,0.65 ,5.91E-28,,,,,,,,
DPEP2,CD8.c01(Tn),0.25 ,1.24E-22,1.99E-21,222,7.35%,10,0.53 ,19,0.43 ,4.10E-02,,,,,TRUE,TRUE,,
ARRDC2,CD8.c01(Tn),0.25 ,1.07E-10,5.69E-10,223,20.87%,10,0.53 ,19,0.68 ,7.60E-216,,,,,,,,
SYPL1,CD8.c01(Tn),0.25 ,2.00E-25,4.04E-24,224,28.97%,11,0.58 ,19,0.41 ,2.26E-49,,,,,TRUE,,,
COX4I1,CD8.c01(Tn),0.25 ,8.07E-17,7.80E-16,225,56.63%,11,0.58 ,19,0.53 ,7.14E-46,,,,,TRUE,,,
ADD3,CD8.c01(Tn),0.25 ,2.15E-27,5.13E-26,226,36.41%,10,0.53 ,19,0.61 ,5.54E-35,,,,,,,,
ANP32B,CD8.c01(Tn),0.24 ,1.68E-20,2.28E-19,227,53.74%,14,0.74 ,19,0.60 ,1.02E-58,,,,,,,,
CFP,CD8.c01(Tn),0.24 ,4.40E-17,4.32E-16,228,2.48%,10,0.53 ,19,0.70 ,1.34E-13,,,,TRUE,,,,
CD40LG,CD8.c01(Tn),0.24 ,1.45E-11,8.52E-11,229,7.79%,10,0.53 ,19,0.65 ,1.21E-39,,,,TRUE,TRUE,,,
HINT1,CD8.c01(Tn),0.24 ,4.23E-25,8.36E-24,230,55.10%,11,0.58 ,19,0.59 ,6.02E-23,,,,,,,,
SF1,CD8.c01(Tn),0.24 ,3.40E-25,6.80E-24,231,53.14%,11,0.58 ,19,0.41 ,3.77E-79,,,,,,,,
LMO7,CD8.c01(Tn),0.24 ,1.05E-14,8.42E-14,232,8.21%,7,0.37 ,19,0.68 ,6.61E-02,,,,,TRUE,,,
FXYD1,CD8.c01(Tn),0.24 ,1.51E-16,1.43E-15,233,4.67%,11,0.58 ,19,0.54 ,5.30E-09,,,,,TRUE,,,
PIM2,CD8.c01(Tn),0.24 ,1.43E-17,1.48E-16,234,31.63%,9,0.47 ,19,0.54 ,3.94E-08,,TRUE,,,TRUE,TRUE,,
DENND5A,CD8.c01(Tn),0.24 ,3.77E-13,2.58E-12,235,3.92%,9,0.47 ,19,0.65 ,1.14E-01,,,,,TRUE,,,
IMPDH2,CD8.c01(Tn),0.24 ,5.15E-21,7.30E-20,236,29.51%,9,0.47 ,19,0.58 ,9.14E-56,,,,,,TRUE,TRUE,
TBXA2R,CD8.c01(Tn),0.24 ,8.97E-09,3.87E-08,237,1.56%,7,0.37 ,19,0.56 ,1.75E-51,,,,,TRUE,,TRUE,
RASGRF2,CD8.c01(Tn),0.24 ,1.67E-12,1.08E-11,238,5.46%,6,0.32 ,19,0.46 ,1.31E-01,,,,,,,,
CLEC11A,CD8.c01(Tn),0.24 ,5.52E-05,1.47E-04,239,3.62%,7,0.37 ,19,1.14 ,2.36E-203,,,,TRUE,,,,
PTGDR2,CD8.c01(Tn),0.23 ,2.06E-13,1.44E-12,240,0.92%,9,0.47 ,19,0.48 ,1.18E-31,,,,,TRUE,,,
MGAT4A,CD8.c01(Tn),0.23 ,1.19E-17,1.24E-16,241,42.07%,8,0.42 ,19,0.61 ,1.09E-60,,,,TRUE,,TRUE,,
C1QBP,CD8.c01(Tn),0.23 ,8.35E-23,1.35E-21,242,41.59%,13,0.68 ,19,0.57 ,1.40E-52,,,,,,,,TRUE
HOOK1,CD8.c01(Tn),0.23 ,5.68E-31,1.83E-29,243,3.84%,14,0.74 ,19,0.44 ,1.18E-01,,,,,,,,
STMN3,CD8.c01(Tn),0.23 ,4.73E-15,3.92E-14,244,17.37%,8,0.42 ,19,0.51 ,1.61E-02,,,,,,,,
SLC16A10,CD8.c01(Tn),0.23 ,4.43E-15,3.68E-14,245,2.62%,9,0.47 ,19,0.49 ,5.59E-04,,,,,TRUE,,,
GPR155,CD8.c01(Tn),0.23 ,8.52E-16,7.56E-15,246,14.50%,8,0.42 ,19,0.50 ,9.12E-11,,,,,TRUE,,,
MAML2,CD8.c01(Tn),0.23 ,2.21E-17,2.24E-16,247,18.38%,8,0.42 ,19,0.47 ,5.89E-37,,,,,,,,
SLC25A6,CD8.c01(Tn),0.23 ,2.95E-12,1.84E-11,248,50.17%,10,0.53 ,19,0.59 ,1.40E-09,,,,,TRUE,,TRUE,
PRMT2,CD8.c01(Tn),0.23 ,1.73E-11,1.01E-10,249,49.27%,9,0.47 ,19,0.60 ,7.79E-170,,,,,,TRUE,,
LGALS3BP,CD8.c01(Tn),0.23 ,1.74E-13,1.23E-12,250,9.88%,9,0.47 ,19,0.46 ,3.62E-35,,,,TRUE,,,,
ADPRM,CD8.c01(Tn),0.23 ,1.43E-11,8.41E-11,251,8.90%,7,0.37 ,19,0.50 ,1.00E-40,,,,,TRUE,TRUE,,
PIM1,CD8.c01(Tn),0.23 ,2.46E-14,1.90E-13,252,38.29%,12,0.63 ,19,0.47 ,3.32E-06,,TRUE,,,,TRUE,,
FBL,CD8.c01(Tn),0.23 ,1.41E-15,1.23E-14,253,44.76%,9,0.47 ,19,0.59 ,1.01E-56,,,,,,,,
FAM153B,CD8.c01(Tn),0.23 ,2.95E-12,1.84E-11,254,1.31%,9,0.47 ,19,0.80 ,7.35E-03,,,,,,,,
PLAG1,CD8.c01(Tn),0.23 ,1.22E-10,6.46E-10,255,3.17%,7,0.37 ,19,0.66 ,1.22E-02,TRUE,,,,,,,
GIMAP1,CD8.c01(Tn),0.23 ,9.80E-10,4.68E-09,256,33.87%,10,0.53 ,19,0.86 ,7.02E-120,,,,,TRUE,,,
SC5D,CD8.c01(Tn),0.22 ,2.48E-06,7.98E-06,257,26.62%,10,0.53 ,19,0.71 ,1.43E-69,,,,,TRUE,TRUE,,TRUE
HSBP1L1,CD8.c01(Tn),0.22 ,3.50E-15,2.94E-14,258,5.98%,7,0.37 ,19,0.57 ,2.87E-53,,,,,,,,
UXT,CD8.c01(Tn),0.22 ,1.49E-16,1.41E-15,259,51.47%,10,0.53 ,19,0.49 ,3.51E-40,,,,,,,,
OXNAD1,CD8.c01(Tn),0.22 ,2.25E-07,8.25E-07,260,37.08%,5,0.26 ,19,0.78 ,1.92E-99,,,,,,,,
FAM102A,CD8.c01(Tn),0.22 ,2.01E-15,1.73E-14,261,31.42%,8,0.42 ,19,0.49 ,7.33E-07,,,,,,,,
CHD7,CD8.c01(Tn),0.22 ,8.60E-30,2.55E-28,262,10.36%,14,0.74 ,19,0.65 ,8.36E-12,,,,,,TRUE,,TRUE
DPP4,CD8.c01(Tn),0.22 ,1.83E-14,1.44E-13,263,12.13%,10,0.53 ,19,0.68 ,7.39E-13,,,,TRUE,TRUE,TRUE,TRUE,
FAM107B,CD8.c01(Tn),0.22 ,1.17E-31,4.02E-30,264,43.15%,12,0.63 ,19,0.39 ,4.00E-44,,,,,,,,
SNED1,CD8.c01(Tn),0.22 ,2.03E-14,1.59E-13,265,3.64%,8,0.42 ,19,0.45 ,4.15E-31,,,,TRUE,,,,
PI16,CD8.c01(Tn),0.22 ,8.86E-13,5.87E-12,266,1.62%,6,0.32 ,19,0.51 ,2.21E-07,,,,TRUE,TRUE,,,
TOB1,CD8.c01(Tn),0.22 ,9.18E-10,4.40E-09,267,41.23%,9,0.47 ,19,0.54 ,5.55E-08,,,,,,,,
KCNQ1,CD8.c01(Tn),0.22 ,5.40E-15,4.43E-14,268,2.32%,9,0.47 ,19,0.49 ,8.91E-02,,,TRUE,,TRUE,,TRUE,
PDK1,CD8.c01(Tn),0.22 ,3.26E-09,1.48E-08,269,8.65%,7,0.37 ,19,0.60 ,1.27E-01,,TRUE,,,,TRUE,TRUE,
DPH5,CD8.c01(Tn),0.22 ,5.08E-18,5.50E-17,270,10.91%,10,0.53 ,19,0.49 ,4.12E-03,,,,,,TRUE,,
GCSAM,CD8.c01(Tn),0.21 ,8.16E-16,7.26E-15,271,6.70%,8,0.42 ,19,0.43 ,2.00E-47,,,,,,,,
INF2,CD8.c01(Tn),0.21 ,6.32E-19,7.47E-18,272,3.98%,8,0.42 ,19,0.56 ,2.08E-51,,,,,,,,
COX7C,CD8.c01(Tn),0.21 ,2.92E-14,2.24E-13,273,55.41%,10,0.53 ,19,0.41 ,2.48E-11,,,,,TRUE,,,
IRS2,CD8.c01(Tn),0.21 ,1.24E-06,4.15E-06,274,8.97%,9,0.47 ,19,0.85 ,3.81E-210,,,,,,,,
EIF3F,CD8.c01(Tn),0.21 ,7.88E-16,7.03E-15,275,52.42%,13,0.68 ,19,0.49 ,5.59E-40,,,,,,TRUE,,
SUSD4,CD8.c01(Tn),0.21 ,6.46E-22,9.82E-21,276,1.30%,8,0.42 ,19,0.61 ,2.07E-10,,,,,TRUE,,,
BTBD11,CD8.c01(Tn),0.21 ,3.51E-18,3.84E-17,277,3.88%,10,0.53 ,19,0.39 ,1.31E-37,,,,,,,,
NBEAL1,CD8.c01(Tn),0.21 ,1.76E-11,1.02E-10,278,37.48%,6,0.32 ,19,0.52 ,4.52E-01,,,,,,,,
CNN3,CD8.c01(Tn),0.21 ,1.55E-13,1.10E-12,279,1.85%,9,0.47 ,19,0.59 ,4.07E-57,,,,,,,,
GAL3ST4,CD8.c01(Tn),0.21 ,1.83E-11,1.06E-10,280,1.17%,6,0.32 ,19,0.65 ,2.31E-02,,,,,TRUE,,,
SPOCK2,CD8.c01(Tn),0.21 ,3.85E-17,3.81E-16,281,50.91%,11,0.58 ,19,0.54 ,4.56E-08,,,,TRUE,,,,
MICU3,CD8.c01(Tn),0.21 ,4.00E-10,1.99E-09,282,2.85%,8,0.42 ,19,0.57 ,5.25E-53,,,,,TRUE,,,
APBA2,CD8.c01(Tn),0.21 ,5.41E-13,3.65E-12,283,19.36%,6,0.32 ,19,0.54 ,9.99E-02,,,,,,,,
ADK,CD8.c01(Tn),0.21 ,1.45E-17,1.50E-16,284,24.23%,11,0.58 ,19,0.42 ,6.09E-27,,TRUE,,,,TRUE,TRUE,
PTGER2,CD8.c01(Tn),0.21 ,3.87E-07,1.37E-06,285,19.16%,9,0.47 ,19,0.55 ,6.87E-04,,,,,TRUE,,TRUE,
FBLN7,CD8.c01(Tn),0.21 ,6.50E-11,3.56E-10,286,3.31%,11,0.58 ,19,0.77 ,1.59E-16,,,,TRUE,,,,
MEST,CD8.c01(Tn),0.21 ,1.46E-10,7.67E-10,287,2.83%,7,0.37 ,19,0.61 ,3.56E-60,,,,,,,,
LIMD2,CD8.c01(Tn),0.21 ,5.14E-06,1.59E-05,288,51.98%,8,0.42 ,19,0.84 ,1.79E-113,,,,,,,,
ST13,CD8.c01(Tn),0.21 ,1.17E-09,5.53E-09,289,50.51%,7,0.37 ,19,0.70 ,5.36E-79,,,,,,,,
ANKRD55,CD8.c01(Tn),0.21 ,4.81E-16,4.37E-15,290,1.33%,8,0.42 ,19,0.45 ,4.05E-34,,,,,,,,
ZBTB10,CD8.c01(Tn),0.20 ,9.56E-16,8.46E-15,291,6.92%,11,0.58 ,19,0.55 ,1.75E-08,,,,,,,,
APEX1,CD8.c01(Tn),0.20 ,9.35E-12,5.58E-11,292,33.58%,8,0.42 ,19,0.55 ,1.75E-49,,,,,,TRUE,TRUE,
COMMD6,CD8.c01(Tn),0.20 ,2.54E-27,6.06E-26,293,52.68%,11,0.58 ,19,0.36 ,5.02E-09,,,,,,,,
KDSR,CD8.c01(Tn),0.20 ,6.85E-19,8.06E-18,294,18.09%,14,0.74 ,19,0.37 ,5.15E-04,,,,,TRUE,TRUE,,TRUE
KLF7,CD8.c01(Tn),0.20 ,1.04E-08,4.44E-08,295,4.84%,7,0.37 ,19,0.52 ,4.69E-05,TRUE,,,,,,,
HAPLN3,CD8.c01(Tn),0.20 ,1.58E-12,1.02E-11,296,10.06%,7,0.37 ,19,0.39 ,3.22E-01,,,,TRUE,TRUE,,,
EIF4EBP3,CD8.c01(Tn),0.20 ,1.41E-11,8.30E-11,297,4.31%,8,0.42 ,19,0.59 ,1.10E-56,,,,,,,,
CKAP4,CD8.c01(Tn),0.20 ,8.33E-19,9.73E-18,298,3.55%,10,0.53 ,19,0.53 ,7.51E-08,,,,,TRUE,,,
ZNF516,CD8.c01(Tn),0.20 ,3.13E-12,1.94E-11,299,1.00%,7,0.37 ,19,0.54 ,5.92E-02,TRUE,,,,,,,
APP,CD8.c01(Tn),0.20 ,1.47E-21,2.16E-20,300,7.23%,8,0.42 ,19,0.38 ,8.22E-14,,,,,TRUE,,TRUE,
FHL1,CD8.c01(Tn),0.20 ,1.57E-21,2.31E-20,301,4.39%,10,0.53 ,19,0.39 ,1.54E-14,,,,,,,,
EPB41,CD8.c01(Tn),0.20 ,4.22E-19,5.02E-18,302,35.38%,10,0.53 ,19,0.60 ,4.91E-10,,,,,TRUE,,,TRUE
SGK1,CD8.c01(Tn),0.20 ,1.65E-08,6.89E-08,303,12.67%,6,0.32 ,19,0.83 ,7.24E-19,,TRUE,,,,TRUE,,
ARHGAP5,CD8.c01(Tn),0.20 ,3.82E-28,9.82E-27,304,9.15%,7,0.37 ,19,0.33 ,1.81E-06,,,,,,,,
NSA2,CD8.c01(Tn),0.20 ,2.22E-14,1.73E-13,305,47.45%,9,0.47 ,19,0.48 ,1.37E-38,,,,,,,,
UXS1,CD8.c01(Tn),0.20 ,4.26E-20,5.55E-19,306,17.67%,9,0.47 ,19,0.33 ,9.81E-03,,,,,,TRUE,,
SAMHD1,CD8.c01(Tn),0.19 ,9.69E-11,5.20E-10,307,35.87%,6,0.32 ,19,0.51 ,2.31E-24,,,,,,,,
GCNT4,CD8.c01(Tn),0.19 ,4.01E-16,3.67E-15,308,1.71%,6,0.32 ,19,0.41 ,5.31E-02,,,,,,TRUE,,
CLUAP1,CD8.c01(Tn),0.19 ,3.47E-13,2.38E-12,309,6.65%,6,0.32 ,19,0.58 ,1.17E-55,,,,,,,,
CACNA1I,CD8.c01(Tn),0.19 ,6.52E-11,3.57E-10,310,1.19%,4,0.21 ,19,0.46 ,1.65E-01,,,,,TRUE,,TRUE,
HNRNPA1,CD8.c01(Tn),0.19 ,4.42E-09,1.97E-08,312,51.91%,7,0.37 ,19,0.39 ,2.10E-71,,,,,,,,
TTC3,CD8.c01(Tn),0.19 ,2.04E-50,3.04E-48,313,36.37%,10,0.53 ,19,0.31 ,1.31E-09,,,,,TRUE,TRUE,,
LGMN,CD8.c01(Tn),0.19 ,5.27E-11,2.92E-10,314,3.34%,6,0.32 ,19,0.43 ,3.78E-01,,,,,,TRUE,,
SERP1,CD8.c01(Tn),0.19 ,6.32E-18,6.75E-17,315,51.67%,9,0.47 ,19,0.46 ,1.36E-28,,,,,TRUE,,,
CD48,CD8.c01(Tn),0.19 ,2.23E-16,2.07E-15,316,52.16%,10,0.53 ,19,0.52 ,4.92E-26,,,,,TRUE,,,
MLXIP,CD8.c01(Tn),0.19 ,7.67E-14,5.62E-13,317,11.76%,5,0.26 ,19,0.39 ,1.88E-01,TRUE,,,,,,,
PRDX2,CD8.c01(Tn),0.19 ,9.99E-28,2.48E-26,318,42.52%,10,0.53 ,19,0.31 ,3.26E-03,,,,,,TRUE,,
LY96,CD8.c01(Tn),0.19 ,1.10E-18,1.26E-17,319,4.88%,7,0.37 ,19,0.40 ,6.62E-22,,,,TRUE,,,,
JUNB,CD8.c01(Tn),0.18 ,9.15E-05,2.36E-04,320,50.44%,7,0.37 ,19,0.64 ,7.43E-57,TRUE,,,,,,,
SFMBT1,CD8.c01(Tn),0.18 ,1.13E-15,9.97E-15,321,10.42%,7,0.37 ,19,0.38 ,7.68E-67,,,,,,,,
GIMAP5,CD8.c01(Tn),0.18 ,4.87E-14,3.66E-13,322,22.52%,6,0.32 ,19,0.39 ,1.34E-25,,,,,TRUE,,,
TNFAIP8,CD8.c01(Tn),0.18 ,1.13E-21,1.68E-20,323,40.72%,10,0.53 ,19,0.62 ,1.48E-10,,,,,,,,
CEP68,CD8.c01(Tn),0.18 ,1.12E-17,1.18E-16,324,9.49%,5,0.26 ,19,0.47 ,1.79E-02,,,,,,,,
RALGPS2,CD8.c01(Tn),0.18 ,2.94E-23,5.02E-22,325,3.19%,9,0.47 ,19,0.47 ,9.05E-07,,,,,,,,
PKIA,CD8.c01(Tn),0.18 ,8.59E-16,7.61E-15,326,8.12%,8,0.42 ,19,0.43 ,8.87E-29,,,,,,,,
UBE2E2,CD8.c01(Tn),0.18 ,4.16E-09,1.86E-08,327,1.95%,4,0.21 ,19,0.41 ,4.02E-02,,,,,,TRUE,,
ATG9B,CD8.c01(Tn),0.18 ,4.01E-23,6.74E-22,328,3.57%,8,0.42 ,19,0.35 ,3.30E-21,,,,,TRUE,,,
SNN,CD8.c01(Tn),0.18 ,9.13E-14,6.65E-13,329,7.52%,8,0.42 ,19,0.47 ,3.41E-30,,,,,TRUE,,,
GNAQ,CD8.c01(Tn),0.18 ,7.30E-18,7.76E-17,330,5.60%,7,0.37 ,19,0.37 ,1.70E-40,,,,,,,,
SH2D3A,CD8.c01(Tn),0.18 ,1.68E-16,1.58E-15,331,9.73%,9,0.47 ,19,0.34 ,5.25E-02,,,,,,,,
SLC7A6,CD8.c01(Tn),0.18 ,2.05E-18,2.29E-17,332,17.77%,8,0.42 ,19,0.47 ,8.35E-07,,,,,TRUE,,,
PPA1,CD8.c01(Tn),0.18 ,7.31E-12,4.39E-11,333,37.06%,7,0.37 ,19,0.54 ,3.47E-19,,,,,,TRUE,,
NR3C2,CD8.c01(Tn),0.18 ,1.99E-15,1.71E-14,334,3.97%,7,0.37 ,19,0.36 ,1.28E-01,TRUE,,,,,,TRUE,
MB21D2,CD8.c01(Tn),0.18 ,1.28E-11,7.56E-11,335,1.24%,5,0.26 ,19,0.52 ,1.52E-07,,,,,,,,
FXYD2,CD8.c01(Tn),0.18 ,2.99E-04,7.12E-04,336,10.30%,8,0.42 ,19,0.85 ,4.29E-20,,,,,TRUE,,TRUE,
RASSF3,CD8.c01(Tn),0.18 ,2.20E-26,4.81E-25,337,14.30%,10,0.53 ,19,0.42 ,8.26E-17,,,,,,,,
TOMM20,CD8.c01(Tn),0.18 ,2.60E-33,9.94E-32,338,47.29%,11,0.58 ,19,0.35 ,1.31E-03,,,,,TRUE,,,
STXBP1,CD8.c01(Tn),0.18 ,1.59E-15,1.38E-14,339,2.23%,6,0.32 ,19,0.40 ,4.61E-11,,,,,TRUE,,,
AXIN2,CD8.c01(Tn),0.18 ,6.43E-18,6.87E-17,340,1.36%,6,0.32 ,19,0.45 ,2.83E-06,,,,,,,,
SPTBN1,CD8.c01(Tn),0.18 ,2.61E-17,2.63E-16,341,21.06%,5,0.26 ,19,0.34 ,1.54E-02,,,,,,,,
C16orf74,CD8.c01(Tn),0.18 ,1.32E-08,5.57E-08,342,2.58%,6,0.32 ,19,0.59 ,8.52E-58,,,,,,,,
TMEM45B,CD8.c01(Tn),0.17 ,8.87E-11,4.79E-10,343,1.08%,7,0.37 ,19,0.61 ,2.55E-10,,,,,TRUE,,,
DCHS1,CD8.c01(Tn),0.17 ,1.56E-09,7.31E-09,344,1.17%,7,0.37 ,19,0.41 ,1.05E-03,,,,,TRUE,,,
SPINK2,CD8.c01(Tn),0.17 ,4.56E-09,2.03E-08,345,3.39%,6,0.32 ,19,0.59 ,7.76E-58,,,,TRUE,,,,
PPP1R2,CD8.c01(Tn),0.17 ,3.15E-17,3.16E-16,346,46.92%,7,0.37 ,19,0.34 ,7.09E-18,,,,,,,,
SMAP2,CD8.c01(Tn),0.17 ,1.44E-14,1.14E-13,347,39.05%,7,0.37 ,19,0.28 ,1.06E-37,,,,,,,,
SEPT6,CD8.c01(Tn),0.17 ,3.83E-17,3.80E-16,348,47.43%,10,0.53 ,19,0.36 ,7.54E-04,,,,,,,,
ARHGEF4,CD8.c01(Tn),0.17 ,4.96E-10,2.45E-09,350,1.46%,4,0.21 ,19,0.68 ,2.05E-27,,,,,,,,
METAP1D,CD8.c01(Tn),0.17 ,3.86E-12,2.38E-11,351,3.87%,5,0.26 ,19,0.37 ,1.70E-22,,,,,,TRUE,,
DHRS3,CD8.c01(Tn),0.17 ,5.07E-09,2.24E-08,352,10.68%,7,0.37 ,19,0.55 ,8.23E-02,,,,,TRUE,TRUE,,
STK38,CD8.c01(Tn),0.17 ,9.72E-14,7.05E-13,353,28.24%,9,0.47 ,19,0.47 ,1.39E-06,,TRUE,,,,TRUE,,
SLC7A8,CD8.c01(Tn),0.17 ,3.87E-06,1.22E-05,354,0.90%,3,0.16 ,19,0.46 ,3.40E-01,,,,,TRUE,,,
EPB41L4A-AS1,CD8.c01(Tn),0.17 ,3.25E-15,2.74E-14,355,23.12%,10,0.53 ,19,0.43 ,1.06E-30,,,,,,,,
SLC39A8,CD8.c01(Tn),0.17 ,5.41E-14,4.03E-13,356,16.16%,7,0.37 ,19,0.38 ,3.22E-04,,,,,TRUE,,,TRUE
NEFL,CD8.c01(Tn),0.17 ,8.91E-13,5.89E-12,357,0.57%,6,0.32 ,19,0.35 ,4.57E-12,,,,,,,,
BNIP3,CD8.c01(Tn),0.17 ,6.45E-17,6.25E-16,358,16.39%,8,0.42 ,19,0.34 ,1.09E-19,,,,,TRUE,,,
C12orf57,CD8.c01(Tn),0.17 ,1.91E-06,6.25E-06,359,48.52%,8,0.42 ,19,0.73 ,3.16E-87,,,,,,,,
SSBP2,CD8.c01(Tn),0.17 ,2.22E-13,1.55E-12,360,8.40%,7,0.37 ,19,0.48 ,3.84E-22,,,,,TRUE,,,
